"Name","CISID","Category","Description","Sensitivity","Status","Details"
"SeAssignPrimaryTokenPrivilege","2.2.45","User Rights Test","Ensure primary token privilege is restricted to LOCAL SERVICE and NETWORK SERVICE","8","PASS","All accounts approved: *S-1-5-19, *S-1-5-20"
"SeAuditPrivilege","2.2.31","User Rights Test","Generate security audits should be restricted","9","PASS","All accounts approved: *S-1-5-19, *S-1-5-20"
"SeBackupPrivilege","2.2.11","User Rights Test","SeBackupPrivilege should be restricted","8","PASS","All accounts with 'SeBackupPrivilege' are approved"
"SeCreateGlobalPrivilege","2.2.16","User Rights Test","Create global objects privilege should be restricted","7","PASS","All accounts approved: *S-1-5-19, *S-1-5-20, *S-1-5-32-544, *S-1-5-6"
"SeCreatePagefilePrivilege","2.2.14","User Rights Test","Create a pagefile privilege should be restricted","6","PASS","All accounts approved: *S-1-5-32-544"
"SeCreatePermanentPrivilege","2.2.17","User Rights Test","Create permanent shared objects privilege should not be assigned","6","PASS","No accounts have SeCreatePermanentPrivilege"
"SeCreateSymbolicLinkPrivilege","2.2.19","User Rights Test","Create symbolic links privilege should be restricted","10","PASS","All accounts approved: *S-1-5-32-544"
"SeCreateTokenPrivilege","2.2.15","User Rights Test","Create a token object privilege should not be assigned","10","PASS","No accounts have SeCreateTokenPrivilege privilege"
"SeDebugPrivilege","2.2.20","User Rights Test","Debug privilege should be restricted","10","PASS","All accounts approved: *S-1-5-32-544"
"SeDenyBatchLogonRight","2.2.23","User Rights Test","Deny log on as batch job should include Guests","5","FAIL","No deny batch logon rights configured"
"SeDenyInteractiveLogonRight","2.2.25","User Rights Test","Ensure 'Deny log on locally' includes 'Guests'","5","FAIL","No deny interactive logon rights configured"
"SeDenyNetworkLogonRight","2.2.22","User Rights Test","Deny access to this computer from the network should includes recommend accounts","5","FAIL","No deny network logon rights configured"
"SeDenyRemoteInteractiveLogonRight","2.2.27","User Rights Test","Deny log on through Remote Desktop Services should include recommend accounts","5","FAIL","No deny remote interactive logon rights configured"
"SeDenyServiceLogonRight","2.2.24","User Rights Test","Deny log on as a service should include Guests","5","FAIL","No deny service logon rights configured"
"SeEnableDelegationPrivilege","2.2.29","User Rights Test","Enable computer and user accounts to be trusted for delegation should not be assigned","9","PASS","No accounts have SeEnableDelegationPrivilege"
"SeImpersonatePrivilege","2.2.33","User Rights Test","Impersonate a client after authentication should be restricted","10","PASS","All accounts approved: *S-1-5-19, *S-1-5-20, *S-1-5-32-544, *S-1-5-6"
"SeIncreaseBasePriorityPrivilege","2.2.34","User Rights Test","Increase scheduling priority should be restricted","8","PASS","All accounts approved: *S-1-5-32-544, *S-1-5-90-0"
"SeIncreaseQuotaPrivilege","2.2.6","User Rights Test","Only approved accounts should have Adjust memory quotas privilege","7","PASS","All accounts approved: *S-1-5-19, *S-1-5-20, *S-1-5-32-544"
"SeInteractiveLogonRight","2.2.8","User Rights Test","Allow log on locally should be restricted","5","FAIL","Invalid accounts found: *S-1-5-32-545, *S-1-5-32-551"
"SeLoadDriverPrivilege","2.2.35","User Rights Test","Load and unload device drivers should be restricted","10","PASS","All accounts approved: *S-1-5-32-544"
"SeLockMemoryPrivilege","2.2.36","User Rights Test","Lock pages in memory should not be assigned","9","PASS","No accounts have SeLockMemoryPrivilege"
"SeManageVolumePrivilege","2.2.42","User Rights Test","Perform volume maintenance tasks should be restricted to Administrators","9","PASS","All accounts approved: *S-1-5-32-544"
"SeNetworkLogonRight","2.2.3","User Rights Test","Access this computer from the network should be restricted","5","FAIL","Invalid accounts found: *S-1-1-0, *S-1-5-32-545, *S-1-5-32-551"
"SeProfileSingleProcessPrivilege","2.2.43","User Rights Test","Profile single process privilege should be restricted to Administrators","7","PASS","All accounts approved: *S-1-5-32-544"
"SeRelabelPrivilege","2.2.40","User Rights Test","Modify an object label should not be assigned","7","PASS","No accounts have SeRelabelPrivilege"
"SeRemoteInteractiveLogonRight","2.2.10","User Rights Test","Allow log on through Remote Desktop Services should be restricted","5","PASS","All accounts approved: *S-1-5-32-544, *S-1-5-32-555"
"SeRemoteShutdownPrivilege","2.2.30","User Rights Test","Force shutdown from a remote system should be restricted","9","PASS","All accounts approved: *S-1-5-32-544"
"SeRestorePrivilege","2.2.46","User Rights Test","Restore privilege should be restricted to Administrators","9","FAIL","Invalid accounts found: *S-1-5-32-551"
"SeSecurityPrivilege","2.2.39","User Rights Test","Manage auditing and security log should be restricted (Member Server only)","10","PASS","All accounts approved: *S-1-5-32-544"
"SeShutdownPrivilege","2.2.47","User Rights Test","System shutdown privilege should be restricted to Administrators","8","FAIL","Invalid accounts found: *S-1-5-32-551"
"SeSystemEnvironmentPrivilege","2.2.41","User Rights Test","Modify nonvolatile RAM environment values should be restricted to Administrators","9","PASS","All accounts approved: *S-1-5-32-544"
"SeSystemProfilePrivilege","2.2.44","User Rights Test","Profile system performance privilege should be restricted to Administrators and WdiServiceHost","8","PASS","All accounts approved: *S-1-5-32-544, *S-1-5-80-3139157870-2983391045-3678747466-658725712-1809340420"
"SeSystemTimePrivilege","2.2.12","User Rights Test","Change the system time should be restricted","9","PASS","All accounts with 'SeSystemTimePrivilege' are approved"
"SeTakeOwnershipPrivilege","2.2.48","User Rights Test","Take ownership privilege should be restricted to Administrators","9","PASS","All accounts approved: *S-1-5-32-544"
"SeTcbPrivilege","2.2.4","User Rights Test","No accounts should have Act as part of OS privilege","10","PASS","No accounts have SeTcbPrivilege"
"SeTimeZonePrivilege","2.2.13","User Rights Test","Change the time zone privilege should be restricted","1","PASS","All accounts approved: *S-1-5-19, *S-1-5-32-544"
"SeTrustedCredManAccessPrivilege","2.2.1","User Rights Test","Access Credential Manager as a trusted caller should not be assigned","10","PASS","No accounts have SeTrustedCredManAccessPrivilege"
"ClearTextPassword","1.1.7","Password Policy","Ensure 'ClearTextPassword' is set to '0''","10","PASS","ClearTextPassword is set to 0"
"MaximumPasswordAge","1.1.2","Password Policy","Ensure 'MaximumPasswordAge' is set to 90 days or fewer'","7","PASS","MaximumPasswordAge is set to 42"
"MinimumPasswordLength","1.1.4","Password Policy","Minimum password length should be at least 14 characters","7","FAIL","Minimum password length is set to 0 characters (Required: 14 or more)"
"PasswordComplexity","1.1.5","Password Policy","Password must meet complexity requirements","7","PASS","Password complexity requirements are enabled"
"PasswordHistorySize","1.1.1","Password Policy","Ensure 'PasswordHistorySize' is set to 24 or more","7","FAIL","PasswordHistorySize is set to 0, recommend at least 24"
"ACSettingIndex","18.9.33.6.4","Registry Test","Ensure 'ACSettingIndex' is set to '1'","6","FAIL","Registry path does not exist: HKLM:\SOFTWARE\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5f7d2daa51f51"
"AutoAdminLogon","18.5.1","Registry Test","Ensure 'AutoAdminLogon' is set to '0'","6","FAIL","AutoAdminLogon does not exist"
"AutoDisconnect","2.3.9.1","Registry Test","Ensure 'AutoDisconnect' value is less than 15 minutes","6","FAIL","AutoDisconnect is set to 15, expected less than 15"
"ConsentPromptBehaviorAdmin","2.3.17.2","Registry Test","Ensure 'ConsentPromptBehaviorAdmin' is set to 1 or 2","8","FAIL","ConsentPromptBehaviorAdmin is set to 5, expected 1 or 2"
"ConsentPromptBehaviorUser","2.3.17.3","Registry Test","Ensure 'ConsentPromptBehaviorUser' is set 0","9","FAIL","ConsentPromptBehaviorUser is set to 3, expected 0"
"DCSettingIndex","18.9.33.6.3","Registry Test","Ensure 'DCSettingIndex' is set to '1'","6","FAIL","Registry path does not exist: HKLM:\SOFTWARE\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5f7d2daa51f51"
"DisableCAD","2.3.7.1","Registry Test","Ensure 'DisableCAD' is set to '0'","5","PASS","DisableCAD value set to 0"
"DisableOneSettingsDownloads","18.10.16.3","Registry Test","Ensure 'DisableOneSettingsDownloads' is set to '1'","5","FAIL","DisableOneSettingsDownloads does not exist"
"DisallowExploitProtectionOverride","18.10.92.2.1","Registry Test","Ensure 'DisallowExploitProtectionOverride' is set to '1'","9","FAIL","Registry path does not exist: HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender Security Center\App and Browser protection"
"DoNotShowFeedbackNotifications","18.10.16.4","Registry Test","Ensure 'DoNotShowFeedbackNotifications' is set to '1'","5","FAIL","DoNotShowFeedbackNotifications does not exist"
